Invoice No.,Date,Time,Cashier,Customer,Company,Method,Currency,Items,Amount $,Tendered $,Change $
22,6/18/2026,11:54,Administrator,Default,TN Harlequin,Cash,USD,7,281.00,283.00,2.00
21,6/18/2026,11:23,Administrator,Default,TN Harlequin,Cash,USD,3,200.00,200.00,0.00
20,6/18/2026,11:18,Administrator,Default,TN Harlequin,Cash,USD,4,56.00,56.00,0.00
19,6/18/2026,11:09,Administrator,Default,TN Harlequin,Cash,USD,18,398.10,398.10,0.00
18,6/18/2026,10:59,Administrator,Default,TN Harlequin,Cash,USD,7,419.00,677.00,258.00
17,6/18/2026,10:45,Administrator,Default,TN Harlequin,Cash,USD,6,411.00,411.00,0.00
16,6/18/2026,10:42,Administrator,Default,TN Harlequin,Cash,USD,2,170.00,170.00,0.00
15,6/18/2026,10:41,Administrator,Default,TN Harlequin,Cash,USD,2,170.00,170.00,0.00
14,6/18/2026,10:37,Administrator,Default,TN Harlequin,Cash,USD,7,238.00,238.00,0.00
13,6/17/2026,11:15,Administrator,Default,TN Harlequin,SPLIT,USD,15,537.00,483.67,0.00
12,6/17/2026,11:14,Administrator,Default,TN Harlequin,Cash,USD,8,73.20,74.00,0.80
11,6/17/2026,11:13,Administrator,Default,TN Harlequin,Cash,USD,4,81.00,81.00,0.00
10,6/16/2026,17:04,Administrator,Default,TN Harlequin,Cash,USD,2,34.00,34.00,0.00
9,6/16/2026,16:28,Administrator,Default,TN Harlequin,Cash,USD,4,68.00,68.00,0.00
8,6/16/2026,16:24,Administrator,Default,TN Harlequin,Cash,USD,3,79.00,79.00,0.00
7,6/16/2026,16:18,Administrator,Default,TN Harlequin,Cash,USD,3,46.00,456.00,410.00
6,6/16/2026,16:09,Administrator,Default,TN Harlequin,Cash,USD,3,48.00,777777.00,777729.00
5,6/16/2026,16:06,Administrator,Default,TN Harlequin,Cash,USD,4,81.00,81.00,0.00
4,6/16/2026,15:58,Administrator,Default,TN Harlequin,Cash,USD,5,216.00,218.00,2.00
3,6/16/2026,15:29,Administrator,Default,TN Harlequin,Cash,USD,3,36.00,36.00,0.00
2,5/20/2026,12:23,Administrator,Default,TN Harlequin,Cash,USD,1.09,13.09,13.09,0.00
1,5/20/2026,11:56,Administrator,Default,TN Harlequin,Cash,USD,2.91,34.94,35.00,0.06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
